City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Malabo,GQ,85.86,few clouds,3.75,8.7833,Hotel Yoli
1,Cape Town,ZA,72.1,few clouds,-33.9258,18.4232,Townhouse Hotel
6,Rawson,AR,74.73,few clouds,-43.3002,-65.1023,Hotel Deportivo
13,Port Hedland,AU,87.85,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
14,Souillac,MU,82.78,light rain,-20.5167,57.5167,Hotel SkylineInn
17,Rikitea,PF,76.78,light rain,-23.1203,-134.9692,Chez Bianca & Benoit
29,Ballina,AU,70.02,overcast clouds,-28.8667,153.5667,Ballina Beach Resort
31,Avarua,CK,78.85,light intensity drizzle,-21.2078,-159.775,Paradise Inn
35,Castro,BR,75.34,clear sky,-24.7911,-50.0119,Hotel Central Palace
44,Hilo,US,71.26,clear sky,19.7297,-155.09,Dolphin Bay Hotel
49,Illapel,CL,79.07,clear sky,-31.6308,-71.1653,Domingo Ortiz de Rosas
52,Mar Del Plata,AR,75.83,clear sky,-38.0023,-57.5575,Nuevo Ostende
55,Cidreira,BR,74.25,scattered clouds,-30.1811,-50.2056,Hotel Castelo
57,Mendoza,AR,76.53,clear sky,-32.8908,-68.8272,Hotel Eben-Ezer
64,Saint-Pierre,RE,80.28,light rain,-21.3393,55.4781,Tropic Hotel
67,Kourou,GF,84.25,overcast clouds,5.1552,-52.6478,SCI Horizon
70,Migori,KE,73.08,light rain,-1.0634,34.4731,MIKUTRA
71,Caravelas,BR,84.34,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
72,Talara,PE,74.16,clear sky,-4.5772,-81.2719,Hospedaje El Aypate
73,Puerto Leguizamo,CO,84.97,broken clouds,-0.1934,-74.7819,Hotel Girasoles
75,Ondjiva,AO,89.28,light rain,-17.0667,15.7333,Águia Verde Hotel
77,Salina Cruz,MX,73.27,clear sky,16.1667,-95.2,Hotel Mision San José
79,Port Elizabeth,ZA,70.09,few clouds,-33.918,25.5701,Waterford Hotel
80,Georgetown,MY,82.35,few clouds,5.4112,100.3354,Page 63 hostel
84,Constitucion,CL,71.17,clear sky,-35.3333,-72.4167,Hostal Alameda
88,Lorengau,PG,78.4,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
97,Sao Filipe,CV,72.48,clear sky,14.8961,-24.4956,Bela Vista
100,Vaini,TO,75.36,moderate rain,-21.2,-175.2,Keleti International Resort
104,Hithadhoo,MV,80.98,clear sky,-0.6,73.0833,Pebbles Inn
105,Anloga,GH,84.22,broken clouds,5.7947,0.8973,Hotel de White House
114,Chuy,UY,73.6,clear sky,-33.6971,-53.4616,Alerces
116,Kahului,US,72.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
125,Mahibadhoo,MV,81.16,overcast clouds,3.7833,72.9667,Coral View Inn
128,Puerto Baquerizo Moreno,EC,71.73,few clouds,-0.9,-89.6,Dory's House
130,Cap Malheureux,MU,80.47,scattered clouds,-19.9842,57.6142,Cape Garden
133,Puerto Ayora,EC,72.55,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
136,Angoche,MZ,82.98,few clouds,-16.2325,39.9086,Hotel Quirimbas
137,Puerto Maldonado,PE,77.4,broken clouds,-12.6,-69.1833,Puerto Palmeras
138,Mayumba,GA,82.76,broken clouds,-3.432,10.6554,Résidence Hôtelière Fabso
141,Bukama,CD,73.51,moderate rain,-9.2,25.85,Mission catholique
146,Progreso,MX,72.1,light rain,21.2833,-89.6667,Centro Vacacional Obrero CTM
