City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Malabo,GQ,3.75,8.7833,85.86,74,20,8.05,few clouds
1,Cape Town,ZA,-33.9258,18.4232,72.1,42,20,26.46,few clouds
2,Punta Arenas,CL,-53.15,-70.9167,50.02,61,40,43.73,scattered clouds
3,Saskylakh,RU,71.9167,114.0833,-14.24,94,100,9.78,overcast clouds
4,Shitkino,RU,56.3703,98.3543,7.77,92,100,9.44,overcast clouds
5,Ponta Delgada,PT,37.7333,-25.6667,61.52,100,75,19.57,broken clouds
6,Rawson,AR,-43.3002,-65.1023,74.73,34,24,19.57,few clouds
7,Thompson,CA,55.7435,-97.8558,1.56,78,100,6.91,light snow
8,Ushuaia,AR,-54.8,-68.3,40.66,87,100,19.57,moderate rain
9,Pevek,RU,69.7008,170.3133,-8.9,97,100,11.05,overcast clouds
10,Faya,SA,18.3851,42.4509,59.11,69,39,8.81,moderate rain
11,Bambous Virieux,MU,-20.3428,57.7575,82.65,61,20,6.91,few clouds
12,Vestmannaeyjar,IS,63.4427,-20.2734,23.9,60,84,23.11,broken clouds
13,Port Hedland,AU,-20.3167,118.5667,87.85,51,99,11.5,overcast clouds
14,Souillac,MU,-20.5167,57.5167,82.78,61,20,6.91,light rain
15,Nanortalik,GL,60.1432,-45.2371,22.87,76,10,3.65,clear sky
16,Nikolskoye,RU,59.7035,30.7861,26.8,91,93,7.63,overcast clouds
17,Rikitea,PF,-23.1203,-134.9692,76.78,75,65,5.66,light rain
18,Victoria,HK,22.2855,114.1577,63.25,66,8,10.0,clear sky
19,Port Alfred,ZA,-33.5906,26.891,68.18,67,75,10.0,broken clouds
20,Charters Towers,AU,-20.1,146.2667,74.05,77,70,12.06,broken clouds
21,Tautira,PF,-17.7333,-149.15,79.88,77,82,13.38,light rain
22,Busselton,AU,-33.65,115.3333,62.53,79,0,14.76,clear sky
23,Jiwani,PK,25.05,61.7417,74.3,45,2,9.78,clear sky
24,Ribeira Grande,PT,38.5167,-28.7,63.0,94,75,23.0,light intensity drizzle rain
25,Peterhead,GB,57.5058,-1.7981,41.4,73,100,11.03,overcast clouds
26,Provideniya,RU,64.3833,-173.3,-8.0,86,49,7.67,scattered clouds
27,Norman Wells,CA,65.282,-126.8329,-18.36,76,40,3.44,scattered clouds
28,Sitka,US,57.0531,-135.33,34.86,85,100,8.61,overcast clouds
29,Ballina,AU,-28.8667,153.5667,70.02,99,98,10.85,overcast clouds
30,Mataura,NZ,-46.1927,168.8643,49.59,99,100,2.33,overcast clouds
31,Avarua,CK,-21.2078,-159.775,78.85,94,100,4.61,light intensity drizzle
32,Huaihua,CN,27.5494,109.9592,39.7,68,7,2.48,clear sky
