City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2022-12-21 04:05:09,-46.6,168.3333,56.07,72,99,20.04
1,Madison,US,2022-12-21 04:07:07,34.7334,-86.5667,40.46,89,0,0.0
2,Busselton,AU,2022-12-21 04:06:16,-33.65,115.3333,83.59,33,47,3.42
3,Mahanoro,MG,2022-12-21 04:10:37,-19.9,48.8,74.23,96,100,4.27
4,Bredasdorp,ZA,2022-12-21 04:06:16,-34.5322,20.0403,60.08,66,17,8.46
5,Barcelos,PT,2022-12-21 04:07:27,41.5388,-8.6151,60.94,94,94,7.92
6,Kapaa,US,2022-12-21 04:03:53,22.0752,-159.319,75.18,74,9,9.1
7,Mugur-Aksy,RU,2022-12-21 04:10:38,50.35,90.5,14.76,85,76,5.23
8,Kieta,PG,2022-12-21 04:10:38,-6.2167,155.6333,84.45,72,100,4.43
9,Hobart,AU,2022-12-21 04:00:17,-42.8794,147.3294,70.23,60,75,10.36
10,Constitucion,CL,2022-12-21 04:10:38,-35.3333,-72.4167,56.95,91,0,4.12
11,Antalaha,MG,2022-12-21 04:10:39,-14.9003,50.2788,74.97,80,87,2.35
12,Hamilton,US,2022-12-21 04:05:56,39.1834,-84.5333,33.76,77,0,1.01
13,Soe,ID,2022-12-21 04:10:39,-9.8607,124.284,67.01,96,100,4.9
14,Bereda,ES,2022-12-21 04:10:40,43.2686,-7.5406,55.42,89,100,9.69
15,Rikitea,PF,2022-12-21 04:03:48,-23.1203,-134.9692,76.64,86,36,18.28
16,Mataura,NZ,2022-12-21 04:03:54,-46.1927,168.8643,61.92,57,93,7.09
17,Portland,US,2022-12-21 04:09:52,45.5234,-122.6762,47.43,92,100,6.91
18,Hermanus,ZA,2022-12-21 04:03:54,-34.4187,19.2345,57.79,69,7,13.82
19,Sao Francisco De Paula,BR,2022-12-21 04:10:40,-29.4481,-50.5836,59.68,92,61,3.83
20,Neiafu,TO,2022-12-21 04:10:41,-18.65,-173.9833,84.88,79,20,6.91
21,Geraldton,AU,2022-12-21 04:10:41,-28.7667,114.6,93.61,26,0,16.11
22,Hilo,US,2022-12-21 04:05:04,19.7297,-155.09,75.25,85,20,3.44
23,Narsaq,GL,2022-12-21 04:05:10,60.9167,-46.05,8.82,61,0,9.15
24,Avarua,CK,2022-12-21 04:03:49,-21.2078,-159.775,75.25,88,75,2.3
25,College,US,2022-12-21 04:10:42,64.8569,-147.8028,-34.65,69,0,4.61
