City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2022-12-22 00:18:19,-33.65,115.3333,70.57,49,0,12.82
1,Cairns,AU,2022-12-22 00:15:13,-16.9167,145.7667,86.07,82,75,8.05
2,Mar Del Plata,AR,2022-12-22 00:18:20,-38.0023,-57.5575,69.94,87,40,13.0
3,Sainte-Suzanne,RE,2022-12-22 00:18:21,-20.9061,55.6089,74.46,72,78,6.91
4,Avarua,CK,2022-12-22 00:15:21,-21.2078,-159.775,82.45,78,40,18.41
5,Vaini,TO,2022-12-22 00:18:21,-21.2,-175.2,87.96,70,20,12.66
6,Nanakuli,US,2022-12-22 00:18:22,21.3906,-158.1547,80.11,53,40,9.22
7,Taltal,CL,2022-12-22 00:18:22,-25.4,-70.4833,69.91,73,20,6.15
8,Nabire,ID,2022-12-22 00:18:23,-3.3667,135.4833,83.73,67,92,1.23
9,Kruisfontein,ZA,2022-12-22 00:18:23,-34.0033,24.7314,59.88,82,1,6.46
10,Xanxere,BR,2022-12-22 00:18:23,-26.8769,-52.4042,73.51,75,99,3.4
11,Mataura,NZ,2022-12-22 00:18:24,-46.1927,168.8643,73.47,43,29,3.06
12,Panguna,PG,2022-12-22 00:18:25,-6.3164,155.4848,81.86,62,78,2.39
13,Beloha,MG,2022-12-22 00:18:25,-25.1667,45.05,68.5,89,100,8.16
14,Jamestown,US,2022-12-22 00:17:36,42.097,-79.2353,30.02,60,0,3.44
15,Arraial Do Cabo,BR,2022-12-22 00:18:25,-22.9661,-42.0278,72.16,89,21,11.92
16,Maarianhamina,AX,2022-12-22 00:18:26,60.0973,19.9348,39.06,93,20,5.75
17,Hilo,US,2022-12-22 00:16:34,19.7297,-155.09,86.29,77,20,9.22
18,Matagami,CA,2022-12-22 00:18:26,49.7502,-77.6328,3.31,72,100,8.05
19,Bengkulu,ID,2022-12-22 00:18:27,-3.8004,102.2655,77.38,81,99,9.95
20,Hermanus,ZA,2022-12-22 00:18:27,-34.4187,19.2345,65.8,74,0,10.16
21,Margate,GB,2022-12-22 00:18:27,51.3813,1.3862,47.89,95,97,3.0
22,Punta Arenas,CL,2022-12-22 00:18:28,-53.15,-70.9167,59.11,82,0,8.05
23,Tasiilaq,GL,2022-12-22 00:18:28,65.6145,-37.6368,14.16,56,0,4.61
24,Newry,GB,2022-12-22 00:18:29,54.1784,-6.3374,41.11,92,100,9.82
25,Clyde River,CA,2022-12-22 00:15:07,70.4692,-68.5914,-15.84,92,98,5.39
26,Pedernales,DO,2022-12-22 00:18:30,18.0384,-71.744,76.44,71,4,2.86
27,Talnakh,RU,2022-12-22 00:18:30,69.4865,88.3972,-12.8,97,100,9.22
28,Ushuaia,AR,2022-12-22 00:18:30,-54.8,-68.3,56.86,67,0,9.22
29,North Bend,US,2022-12-22 00:15:14,43.4065,-124.2243,50.23,94,100,0.0
30,Moron,AR,2022-12-22 00:18:31,-34.6534,-58.6198,76.96,70,28,10.94
31,Katsuura,JP,2022-12-22 00:18:32,35.1333,140.3,46.42,83,100,20.69
32,Sefophe,BW,2022-12-22 00:18:32,-22.1833,27.9667,67.14,73,92,14.7
